PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
55,3,Passenger 55,male,41.5,2,2,69.4,S,0
56,2,Passenger 56,male,26.4,0,0,82.93,S,0
57,3,Passenger 57,male,30.4,2,1,63.81,S,0
58,3,Passenger 58,male,30.9,0,1,70.6,C,0
59,2,Passenger 59,female,23.9,2,2,19.1,S,1
60,3,Passenger 60,male,5.5,1,1,28.25,C,0
61,1,Passenger 61,male,14.4,2,1,15.0,Q,1
62,1,Passenger 62,male,17.3,2,0,27.98,S,1
63,3,Passenger 63,male,2.5,2,1,57.24,S,1
64,3,Passenger 64,male,14.4,0,1,36.88,S,1
65,3,Passenger 65,male,46.0,0,1,94.56,S,0
66,1,Passenger 66,male,36.8,1,0,13.29,S,1
67,2,Passenger 67,female,16.4,1,2,49.41,C,1
68,2,Passenger 68,male,20.4,3,0,12.2,S,0
69,3,Passenger 69,female,47.2,1,2,35.71,S,1
70,3,Passenger 70,female,46.9,0,2,59.88,S,1
71,3,Passenger 71,male,31.0,1,1,27.89,Q,0
72,1,Passenger 72,male,46.4,1,1,51.46,S,0
73,3,Passenger 73,male,19.3,2,0,15.37,Q,0
74,3,Passenger 74,male,33.2,1,0,8.75,Q,0
75,3,Passenger 75,female,9.4,3,0,51.71,S,1
76,1,Passenger 76,female,24.9,2,1,133.65,S,1
77,3,Passenger 77,male,30.4,0,2,14.93,S,0
78,1,Passenger 78,male,6.4,3,0,88.04,S,0
79,2,Passenger 79,male,38.3,0,2,34.29,S,0
80,1,Passenger 80,male,40.6,3,1,11.38,S,0
81,1,Passenger 81,female,44.2,2,1,13.39,S,1
82,1,Passenger 82,male,62.7,3,1,33.54,S,1
83,1,Passenger 83,male,35.8,3,1,23.96,S,1
84,1,Passenger 84,female,29.1,1,2,11.58,S,1
85,3,Passenger 85,male,7.6,0,2,8.54,S,0
86,1,Passenger 86,male,35.5,2,0,16.82,C,1
87,3,Passenger 87,male,37.8,3,2,38.67,S,0
88,1,Passenger 88,male,11.0,0,2,32.95,S,1
89,3,Passenger 89,female,26.6,0,2,22.18,C,1
90,3,Passenger 90,female,30.2,1,0,38.92,Q,0
91,1,Passenger 91,male,37.4,0,2,76.1,S,0
92,3,Passenger 92,female,42.0,2,2,45.39,S,1
93,1,Passenger 93,male,22.5,1,2,30.05,S,0
94,3,Passenger 94,female,32.8,3,1,69.58,S,0
95,3,Passenger 95,female,38.0,2,2,15.37,C,1
96,1,Passenger 96,male,27.5,2,0,27.66,S,1
97,2,Passenger 97,female,24.1,2,0,28.19,C,0
98,1,Passenger 98,male,40.0,1,0,12.31,S,0
99,2,Passenger 99,male,27.5,0,0,23.67,S,0
100,3,Passenger 100,female,13.2,2,1,6.3,S,1
101,3,Passenger 101,female,49.2,0,0,152.89,S,0
102,2,Passenger 102,female,14.8,0,1,15.64,S,1
103,1,Passenger 103,male,28.7,2,1,117.79,S,0
104,2,Passenger 104,male,34.5,0,1,34.14,S,1
105,1,Passenger 105,male,36.4,1,0,52.03,C,1
106,3,Passenger 106,female,32.4,1,0,22.4,S,1
107,1,Passenger 107,male,1.0,3,1,39.11,C,0
108,3,Passenger 108,female,20.2,0,1,55.72,S,0
109,2,Passenger 109,male,34.1,0,0,56.35,C,0
110,1,Passenger 110,male,28.5,3,2,61.55,Q,0
111,3,Passenger 111,male,37.2,1,2,24.66,S,0
112,3,Passenger 112,female,44.3,3,2,22.55,C,1
113,2,Passenger 113,male,37.1,3,0,9.25,S,0
114,3,Passenger 114,female,19.8,3,0,50.33,C,0
115,3,Passenger 115,male,22.5,0,1,78.72,S,0
116,2,Passenger 116,male,52.8,0,0,120.64,S,0
117,3,Passenger 117,female,27.5,0,0,42.27,S,1
118,3,Passenger 118,female,28.7,0,0,17.94,S,0
119,1,Passenger 119,female,37.1,2,1,8.52,S,1
120,3,Passenger 120,male,47.3,3,1,76.2,Q,0
121,1,Passenger 121,male,17.4,3,2,7.87,C,0
122,1,Passenger 122,male,23.1,0,2,25.22,S,1
123,3,Passenger 123,male,7.5,1,0,27.68,C,0
124,3,Passenger 124,female,25.9,2,0,31.33,C,0
125,3,Passenger 125,male,37.9,2,1,34.08,S,0
126,1,Passenger 126,male,24.9,1,2,36.99,S,1
127,2,Passenger 127,male,54.6,0,2,4.8,S,0
128,3,Passenger 128,male,31.6,2,2,33.51,C,0
129,1,Passenger 129,male,28.6,2,0,5.56,C,1
130,3,Passenger 130,male,25.1,3,0,59.49,S,1
131,3,Passenger 131,male,11.0,3,0,21.24,S,0
132,3,Passenger 132,male,28.7,0,1,5.9,C,0
133,1,Passenger 133,female,35.0,0,2,17.26,Q,1
134,1,Passenger 134,male,28.3,3,1,20.99,C,0
135,3,Passenger 135,male,33.2,3,2,85.85,S,0
136,3,Passenger 136,female,20.6,3,0,38.76,S,0
137,3,Passenger 137,female,12.6,1,1,43.62,S,1
138,1,Passenger 138,female,28.5,2,1,85.2,S,0
139,3,Passenger 139,female,33.1,0,0,30.66,C,0
140,3,Passenger 140,male,27.6,0,2,60.54,S,0
141,1,Passenger 141,female,32.8,1,2,57.23,C,1
142,3,Passenger 142,male,40.9,3,2,11.83,S,0
143,3,Passenger 143,male,40.8,2,2,107.6,C,0
144,1,Passenger 144,female,42.0,3,0,10.63,S,1
145,2,Passenger 145,male,44.1,0,0,68.99,S,0
146,3,Passenger 146,female,37.0,1,0,9.84,S,0
147,3,Passenger 147,female,35.0,2,0,53.57,S,0
148,3,Passenger 148,male,57.2,2,1,146.87,Q,0
149,2,Passenger 149,female,41.0,2,1,27.93,S,0
150,2,Passenger 150,male,18.2,2,1,26.98,S,1
151,3,Passenger 151,male,3.9,1,0,53.97,C,1
152,3,Passenger 152,female,26.6,0,2,25.44,C,1
153,1,Passenger 153,male,38.7,2,1,141.83,S,0
154,3,Passenger 154,female,43.4,2,1,38.62,Q,1
155,1,Passenger 155,male,12.5,0,0,25.63,S,0
156,1,Passenger 156,male,40.2,3,2,21.49,S,0
157,2,Passenger 157,female,45.9,2,2,15.7,S,1
158,2,Passenger 158,male,38.5,2,2,20.04,S,0
159,3,Passenger 159,male,35.8,3,0,25.01,S,0
160,3,Passenger 160,male,28.1,0,2,22.42,S,0
161,3,Passenger 161,female,23.6,0,1,19.56,S,0
162,3,Passenger 162,male,41.0,2,1,177.52,C,0
163,2,Passenger 163,female,38.2,0,1,14.53,S,1
164,3,Passenger 164,male,25.4,3,0,37.24,Q,0
165,3,Passenger 165,male,65.6,1,2,53.2,C,0
166,3,Passenger 166,female,8.9,3,0,54.82,S,0
167,3,Passenger 167,male,26.8,3,2,31.6,S,1
168,3,Passenger 168,male,19.2,1,0,27.32,S,0
169,1,Passenger 169,female,35.4,3,1,47.52,C,1
170,3,Passenger 170,female,2.7,2,0,40.99,S,1
171,3,Passenger 171,male,47.8,2,0,26.92,S,0
172,3,Passenger 172,male,44.1,0,0,9.49,Q,0
173,1,Passenger 173,female,33.7,0,1,22.77,S,1
174,3,Passenger 174,female,25.7,3,0,13.23,S,1
175,3,Passenger 175,female,40.0,2,0,19.42,S,1
176,2,Passenger 176,male,34.6,2,1,34.01,C,0
177,3,Passenger 177,female,43.3,1,2,44.12,C,0
178,2,Passenger 178,male,28.3,0,0,137.6,S,1
179,2,Passenger 179,male,27.5,2,1,21.54,S,0
180,2,Passenger 180,male,45.1,3,0,61.54,C,0
181,3,Passenger 181,male,38.9,2,1,42.3,C,0
182,2,Passenger 182,male,27.6,0,2,93.39,C,0
183,3,Passenger 183,male,35.1,3,2,52.51,S,0
184,2,Passenger 184,male,32.6,0,0,14.78,Q,0
185,1,Passenger 185,female,36.5,2,1,8.34,S,0
186,1,Passenger 186,male,47.8,2,2,42.48,S,1
187,1,Passenger 187,male,25.1,2,2,21.7,S,0
188,3,Passenger 188,male,21.0,0,1,15.12,S,0
189,3,Passenger 189,male,33.8,3,0,12.01,C,0
190,1,Passenger 190,male,22.5,2,2,37.67,S,1
191,1,Passenger 191,male,17.2,2,2,110.63,C,1
192,3,Passenger 192,female,43.9,2,2,23.88,S,0
193,2,Passenger 193,female,26.0,1,0,53.1,S,0
194,3,Passenger 194,female,3.8,1,2,30.51,S,0
195,3,Passenger 195,male,41.9,3,1,11.8,S,0
196,2,Passenger 196,male,23.9,0,0,59.61,S,1
197,2,Passenger 197,male,38.1,2,2,13.79,S,0
198,3,Passenger 198,female,45.2,2,1,33.69,S,0
199,1,Passenger 199,male,32.7,0,1,25.2,S,1
200,1,Passenger 200,male,1.5,0,0,67.66,C,1
201,1,Passenger 201,male,2.5,3,1,14.2,S,0
202,3,Passenger 202,male,20.6,0,0,45.27,S,0
203,3,Passenger 203,female,29.2,2,0,16.91,S,0
204,1,Passenger 204,female,46.8,3,0,22.0,Q,0
205,3,Passenger 205,female,34.1,1,1,1.81,S,0
206,2,Passenger 206,male,66.6,3,0,176.56,S,0
207,3,Passenger 207,female,9.1,3,0,51.44,C,0
208,1,Passenger 208,male,31.7,3,1,17.92,S,0
209,3,Passenger 209,female,23.8,0,0,13.47,S,0
210,3,Passenger 210,male,33.3,2,2,22.28,Q,0
211,1,Passenger 211,male,54.5,0,1,58.76,S,0
212,2,Passenger 212,female,55.4,2,1,7.29,S,0
213,2,Passenger 213,male,30.8,0,1,29.57,S,0
214,2,Passenger 214,female,42.1,3,2,136.53,C,0
215,2,Passenger 215,female,33.0,2,0,13.37,S,1
216,3,Passenger 216,male,14.9,0,1,35.32,S,0
217,3,Passenger 217,male,30.2,3,1,192.99,S,0
218,1,Passenger 218,male,22.9,1,1,54.91,C,1
219,3,Passenger 219,female,29.1,0,2,36.63,S,1
220,3,Passenger 220,male,18.1,0,2,49.67,S,0
221,3,Passenger 221,male,32.2,1,2,24.03,S,0
222,2,Passenger 222,male,34.3,0,0,93.66,S,1
223,1,Passenger 223,male,39.9,1,0,24.06,C,0
224,3,Passenger 224,female,34.3,2,2,6.91,S,0
225,2,Passenger 225,male,52.9,1,0,24.21,C,0
226,3,Passenger 226,male,60.7,3,2,15.28,S,0
227,3,Passenger 227,female,24.3,1,0,26.44,C,0
228,1,Passenger 228,male,43.6,2,0,26.92,S,1
229,1,Passenger 229,male,59.6,1,2,86.31,S,0
230,3,Passenger 230,male,43.9,1,1,57.76,Q,0
231,3,Passenger 231,male,40.0,2,1,40.88,Q,0
232,3,Passenger 232,male,4.5,0,0,33.04,S,0
233,1,Passenger 233,female,22.2,0,0,14.2,S,1
234,3,Passenger 234,female,24.2,3,0,5.78,S,1
235,3,Passenger 235,female,49.4,3,0,36.25,C,0
236,3,Passenger 236,female,19.8,1,0,62.53,S,0
237,1,Passenger 237,male,28.8,0,0,30.37,S,0
238,2,Passenger 238,male,41.8,0,2,21.59,S,0
239,2,Passenger 239,male,19.1,1,1,48.02,Q,0
240,3,Passenger 240,female,33.9,2,1,30.98,S,1
241,3,Passenger 241,female,32.1,0,2,127.56,S,0
242,3,Passenger 242,male,42.3,3,2,88.78,S,1
243,3,Passenger 243,male,39.2,1,1,71.35,S,0
244,1,Passenger 244,male,38.8,2,1,60.71,S,0
245,1,Passenger 245,male,32.8,3,0,11.8,Q,1
246,1,Passenger 246,female,6.5,0,1,56.28,C,1
247,2,Passenger 247,male,32.0,2,0,44.75,S,0
248,3,Passenger 248,female,30.8,3,0,53.79,C,1
249,3,Passenger 249,male,40.7,1,1,49.11,S,0
250,1,Passenger 250,female,24.1,2,0,47.57,S,0
251,3,Passenger 251,female,30.6,2,0,287.35,Q,1
252,3,Passenger 252,female,31.0,1,2,31.16,S,1
253,3,Passenger 253,male,20.0,0,1,70.04,S,0
254,1,Passenger 254,male,13.9,0,2,22.72,Q,0
255,3,Passenger 255,male,35.4,2,0,62.33,S,0
256,2,Passenger 256,male,44.1,2,0,70.21,C,0
257,3,Passenger 257,male,21.3,2,2,44.32,Q,0
258,2,Passenger 258,female,27.0,3,2,125.89,S,0
259,1,Passenger 259,male,41.6,2,2,16.32,S,0
260,3,Passenger 260,male,43.0,0,0,22.43,S,0
261,3,Passenger 261,male,33.2,1,1,39.25,S,0
262,3,Passenger 262,female,35.8,1,0,67.0,S,1
263,3,Passenger 263,female,37.4,1,2,38.23,C,0
264,1,Passenger 264,male,40.0,2,1,92.63,S,0
265,1,Passenger 265,male,15.0,2,2,19.5,S,0
266,3,Passenger 266,female,56.8,1,0,13.3,S,1
267,2,Passenger 267,female,33.8,3,1,42.37,S,1
268,3,Passenger 268,male,40.2,3,1,31.13,C,0
269,2,Passenger 269,female,19.3,3,0,51.13,S,1
270,1,Passenger 270,female,27.4,3,2,32.4,C,1
271,3,Passenger 271,male,35.3,0,2,25.23,S,0
272,1,Passenger 272,male,4.7,1,2,31.19,S,0
273,3,Passenger 273,male,17.4,0,0,33.89,S,0
274,3,Passenger 274,male,19.8,2,2,25.95,S,0
275,3,Passenger 275,male,12.1,3,1,28.15,S,0
276,3,Passenger 276,male,31.5,3,2,23.98,S,0
277,1,Passenger 277,male,29.0,1,2,65.72,Q,0
278,3,Passenger 278,male,49.9,3,1,38.68,S,0
279,3,Passenger 279,male,14.3,1,1,201.42,Q,1
280,3,Passenger 280,male,33.3,2,2,37.66,S,0
281,3,Passenger 281,male,17.7,3,1,21.31,S,0
282,3,Passenger 282,male,6.0,3,0,280.49,S,0
283,3,Passenger 283,male,38.2,0,1,46.1,S,0
284,3,Passenger 284,male,39.4,1,0,73.12,C,0
285,2,Passenger 285,female,37.7,1,1,53.18,S,0
286,1,Passenger 286,male,11.6,3,0,54.51,S,1
287,3,Passenger 287,female,31.2,0,0,50.83,S,1
288,1,Passenger 288,male,38.4,3,2,13.71,S,0
289,1,Passenger 289,male,43.3,1,1,44.43,C,0
290,1,Passenger 290,male,38.8,1,1,11.47,S,0
291,3,Passenger 291,female,43.5,3,1,28.8,C,0
292,2,Passenger 292,female,44.9,2,0,18.53,S,0
293,3,Passenger 293,female,31.5,3,2,44.08,Q,0
294,2,Passenger 294,female,37.0,0,1,43.26,S,0
295,3,Passenger 295,male,44.0,1,2,48.66,S,0
296,2,Passenger 296,male,35.5,1,2,41.67,S,0
297,3,Passenger 297,male,46.8,3,0,20.38,Q,0
298,2,Passenger 298,male,42.2,2,1,26.88,S,1
299,3,Passenger 299,male,21.1,1,2,69.15,S,0
300,3,Passenger 300,female,11.7,3,1,77.81,S,0
301,3,Passenger 301,female,30.3,2,1,13.23,S,0
302,3,Passenger 302,male,13.5,3,1,9.73,C,0
303,2,Passenger 303,male,31.2,3,2,18.51,S,0
304,3,Passenger 304,male,29.9,3,0,76.41,S,0
305,3,Passenger 305,female,48.2,1,0,87.52,S,0
306,3,Passenger 306,male,37.1,2,2,15.8,S,0
307,3,Passenger 307,female,43.7,0,1,42.34,C,1
308,3,Passenger 308,female,23.1,0,1,143.67,Q,1
309,3,Passenger 309,male,51.4,1,0,46.17,C,0
310,2,Passenger 310,male,42.5,1,2,103.26,S,0
311,3,Passenger 311,male,36.0,3,2,73.62,S,0
312,3,Passenger 312,female,4.7,3,0,15.99,C,1
313,3,Passenger 313,male,46.5,2,2,28.45,S,0
314,2,Passenger 314,female,54.8,3,2,34.05,S,0
315,3,Passenger 315,male,30.2,2,0,35.99,Q,0
316,3,Passenger 316,female,30.4,3,0,68.93,S,0
317,1,Passenger 317,male,22.8,3,2,45.92,S,0
318,3,Passenger 318,male,7.2,0,2,3.16,S,0
319,2,Passenger 319,female,22.1,1,0,11.59,S,1
320,3,Passenger 320,female,53.2,2,0,5.76,S,0
321,3,Passenger 321,female,45.1,0,1,38.1,Q,1
322,1,Passenger 322,male,19.2,3,2,40.14,S,1
323,2,Passenger 323,female,21.9,0,2,41.54,S,1
324,3,Passenger 324,female,59.9,2,0,15.38,C,0
325,1,Passenger 325,male,15.7,1,0,56.79,S,0
326,3,Passenger 326,female,20.0,0,1,58.73,S,0
327,3,Passenger 327,male,24.0,2,1,12.13,S,0
328,3,Passenger 328,female,11.0,3,0,10.25,C,1
329,1,Passenger 329,male,22.5,0,2,33.11,S,1
330,3,Passenger 330,female,22.7,1,1,138.85,S,1
331,3,Passenger 331,male,17.4,2,0,129.0,S,0
332,1,Passenger 332,male,48.6,1,0,51.97,S,0
333,1,Passenger 333,male,13.7,3,0,18.47,S,0
334,1,Passenger 334,male,28.0,1,2,67.32,S,0
335,3,Passenger 335,male,17.7,3,0,23.06,S,0
336,1,Passenger 336,male,27.1,3,0,17.92,S,0
337,1,Passenger 337,female,17.1,0,2,5.96,S,0
338,3,Passenger 338,female,31.1,3,0,35.94,S,0
339,3,Passenger 339,female,34.5,1,0,20.01,S,0
340,3,Passenger 340,female,49.6,0,1,35.77,Q,0
341,3,Passenger 341,male,21.8,3,0,5.26,C,0
342,1,Passenger 342,male,52.6,2,2,37.93,Q,0
343,3,Passenger 343,male,18.7,2,1,4.74,S,0
344,1,Passenger 344,male,26.7,3,0,79.07,S,1
345,3,Passenger 345,female,54.7,0,2,50.28,S,1
346,3,Passenger 346,male,70.6,0,0,26.5,S,0
347,1,Passenger 347,female,53.6,0,1,51.94,S,0
348,3,Passenger 348,male,26.9,1,2,15.14,S,0
349,3,Passenger 349,female,37.2,2,1,35.09,S,1
350,1,Passenger 350,male,39.6,3,2,62.54,S,0
351,3,Passenger 351,male,34.8,3,2,2.79,S,0
352,3,Passenger 352,female,15.9,2,0,23.16,S,1
353,3,Passenger 353,male,33.3,1,2,32.52,S,0
354,3,Passenger 354,female,22.9,0,2,28.3,S,1
355,3,Passenger 355,male,16.4,2,0,106.24,Q,0
356,1,Passenger 356,male,25.6,3,2,13.48,S,0
357,2,Passenger 357,female,34.4,1,2,20.15,S,1
358,3,Passenger 358,male,44.0,3,2,7.15,C,0
359,1,Passenger 359,female,26.4,0,2,110.86,S,1
360,3,Passenger 360,male,28.9,2,0,27.19,S,0
361,2,Passenger 361,male,41.3,0,0,23.32,S,0
362,2,Passenger 362,male,31.0,1,1,31.75,S,0
363,1,Passenger 363,male,35.3,2,2,55.09,S,1
364,3,Passenger 364,male,31.1,0,0,43.72,S,0
365,3,Passenger 365,male,32.8,0,2,275.42,S,0
366,2,Passenger 366,male,14.9,0,0,47.62,C,0
367,3,Passenger 367,female,31.7,1,1,22.82,S,1
368,1,Passenger 368,female,50.0,0,2,21.13,S,0
369,3,Passenger 369,male,32.4,3,1,24.19,S,0
370,1,Passenger 370,male,18.3,2,1,9.96,S,0
371,3,Passenger 371,male,50.7,2,1,34.19,C,0
372,3,Passenger 372,male,40.1,0,0,61.98,S,0
373,3,Passenger 373,male,40.7,1,2,20.27,C,0
374,2,Passenger 374,male,40.4,3,0,17.36,S,0
375,3,Passenger 375,female,14.2,3,0,111.36,C,0
376,3,Passenger 376,female,39.1,2,2,10.58,S,1
377,3,Passenger 377,male,49.4,2,2,6.33,S,0
378,2,Passenger 378,male,23.3,3,2,13.17,C,1
379,2,Passenger 379,female,3.0,2,2,9.66,C,1
380,3,Passenger 380,male,35.1,0,0,45.1,S,0
381,1,Passenger 381,female,30.5,3,2,24.81,Q,0
382,1,Passenger 382,female,8.3,2,2,27.78,S,1
383,1,Passenger 383,male,38.5,0,2,83.29,S,0
384,3,Passenger 384,male,37.4,0,1,19.05,S,0
385,1,Passenger 385,female,9.5,3,2,61.56,C,0
386,3,Passenger 386,female,56.5,0,2,110.95,Q,1
387,3,Passenger 387,male,40.5,3,0,23.0,S,0
388,1,Passenger 388,female,3.5,0,1,59.72,S,1
389,2,Passenger 389,male,41.5,3,0,27.29,S,0
390,1,Passenger 390,male,41.1,3,1,69.36,S,0
391,3,Passenger 391,female,49.8,3,0,9.42,S,0
392,3,Passenger 392,female,21.3,3,0,8.88,S,0
393,3,Passenger 393,male,41.7,0,2,24.22,S,0
394,1,Passenger 394,female,26.7,3,2,16.26,S,1
395,3,Passenger 395,male,22.2,2,1,21.9,S,0
396,3,Passenger 396,male,17.9,0,1,27.78,S,0
397,3,Passenger 397,male,3.4,3,1,58.91,S,0
398,3,Passenger 398,male,37.6,0,2,23.9,S,0
399,1,Passenger 399,male,26.2,0,0,17.13,S,0
400,3,Passenger 400,male,1.0,0,1,25.0,S,0
401,2,Passenger 401,female,31.1,0,2,17.9,S,0
402,1,Passenger 402,female,46.2,3,2,15.69,S,1
403,3,Passenger 403,male,11.7,0,0,9.11,Q,0
404,3,Passenger 404,male,20.0,2,0,35.01,S,0
405,3,Passenger 405,male,36.2,0,2,21.01,S,1
406,1,Passenger 406,female,1.0,0,0,71.74,S,1
407,2,Passenger 407,male,22.5,2,0,10.4,S,1
408,3,Passenger 408,male,34.9,3,2,21.46,Q,0
409,3,Passenger 409,male,22.1,2,1,141.22,Q,0
410,1,Passenger 410,male,11.8,1,1,15.62,S,0
411,3,Passenger 411,male,12.5,2,2,27.41,S,0
412,2,Passenger 412,female,7.4,3,1,12.52,C,1
413,3,Passenger 413,female,21.1,2,2,11.26,S,1
414,3,Passenger 414,male,44.8,0,2,114.19,C,0
415,2,Passenger 415,male,63.1,3,0,37.97,C,0
416,2,Passenger 416,male,30.5,1,1,36.85,S,0
417,3,Passenger 417,female,40.8,3,2,8.52,Q,1
418,3,Passenger 418,male,16.8,0,1,44.12,Q,0
419,3,Passenger 419,female,1.0,1,1,83.59,Q,1
420,3,Passenger 420,male,55.9,3,1,83.06,S,0
421,1,Passenger 421,male,21.7,3,2,56.52,S,0
422,3,Passenger 422,male,40.1,0,0,13.42,S,0
423,1,Passenger 423,male,32.2,2,1,42.54,S,0
424,3,Passenger 424,male,43.9,2,2,56.49,S,0
425,2,Passenger 425,male,43.4,1,1,7.88,S,0
426,3,Passenger 426,male,33.9,0,0,13.5,S,0
427,2,Passenger 427,male,35.4,0,1,67.39,S,0
428,2,Passenger 428,male,47.0,2,2,66.74,S,0
429,2,Passenger 429,male,24.3,2,1,9.59,S,0
430,3,Passenger 430,male,51.8,1,1,62.55,C,0
431,3,Passenger 431,female,20.1,2,1,35.74,S,1
432,3,Passenger 432,male,31.1,1,0,61.86,S,0
433,2,Passenger 433,male,38.8,3,1,19.93,Q,0
434,3,Passenger 434,male,7.2,1,2,55.49,S,0
435,3,Passenger 435,male,49.3,1,1,65.04,S,0
436,1,Passenger 436,male,36.7,1,1,25.0,C,0
437,2,Passenger 437,female,76.2,3,1,33.59,C,0
438,3,Passenger 438,male,59.1,2,0,19.71,S,0
439,2,Passenger 439,male,29.8,1,2,124.13,Q,0
440,2,Passenger 440,female,55.0,2,1,30.08,Q,1
441,3,Passenger 441,female,41.9,1,2,15.84,S,0
442,1,Passenger 442,female,33.2,2,2,18.68,S,0
443,3,Passenger 443,female,6.8,1,0,36.65,S,1
444,3,Passenger 444,female,10.1,2,2,60.5,S,0
445,3,Passenger 445,male,30.1,0,1,11.37,S,0
446,3,Passenger 446,male,23.1,3,0,145.2,C,1
447,1,Passenger 447,male,33.2,1,0,42.39,S,1
448,3,Passenger 448,female,49.2,3,2,48.09,S,0
449,2,Passenger 449,female,42.1,1,0,30.64,S,0
450,3,Passenger 450,male,20.3,0,2,33.63,S,0
451,3,Passenger 451,male,42.9,0,2,29.41,S,0
452,3,Passenger 452,female,17.2,3,0,74.76,S,0
453,3,Passenger 453,female,14.0,1,1,32.91,S,0
454,2,Passenger 454,male,35.3,2,2,61.17,C,0
455,1,Passenger 455,female,18.6,1,0,23.4,S,1
456,3,Passenger 456,male,21.0,2,0,38.73,S,0
457,1,Passenger 457,male,43.9,3,2,17.41,S,1
458,3,Passenger 458,male,39.2,3,2,87.64,S,0
459,1,Passenger 459,male,24.8,0,2,17.0,S,0
460,3,Passenger 460,male,7.2,2,2,25.53,S,0
461,1,Passenger 461,female,19.7,1,1,25.74,S,1
462,3,Passenger 462,female,57.2,0,1,24.95,S,1
463,3,Passenger 463,female,43.5,3,1,59.03,S,0
464,3,Passenger 464,male,49.9,0,1,25.7,S,0
465,2,Passenger 465,male,33.6,1,0,101.0,Q,0
466,3,Passenger 466,male,25.1,1,2,17.21,S,0
467,2,Passenger 467,male,42.7,3,0,37.92,C,0
468,2,Passenger 468,male,47.9,0,0,17.8,S,0
469,2,Passenger 469,male,23.3,2,1,46.38,S,1
470,3,Passenger 470,male,20.0,2,0,32.7,S,0
471,1,Passenger 471,female,8.7,2,1,29.25,C,1
472,3,Passenger 472,male,19.7,1,2,85.69,S,0
473,3,Passenger 473,female,39.4,0,1,19.62,S,1
474,1,Passenger 474,male,21.7,2,2,52.94,S,0
475,3,Passenger 475,female,43.0,0,1,17.9,S,0
476,3,Passenger 476,male,57.5,3,0,36.24,C,0
477,1,Passenger 477,male,30.3,2,0,12.72,S,0
478,3,Passenger 478,male,29.8,0,1,19.49,S,1
