Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Kia Seltos,2016,16.19,94345,Petrol,Individual,Automatic,0,1.56
Hyundai i20,2014,29.73,26735,Petrol,Dealer,Manual,1,6.3
Hyundai i20,2025,19.43,114899,Petrol,Dealer,Manual,0,9.87
Toyota Innova,2021,26.39,98173,Diesel,Individual,Manual,1,8.87
Toyota Innova,2024,3.61,143077,CNG,Individual,Automatic,0,0.83
Mahindra XUV500,2016,17.86,62564,Diesel,Individual,Manual,0,3.4
Hyundai i20,2015,31.84,56496,CNG,Individual,Manual,0,8.95
Mahindra XUV500,2022,10.18,34898,Petrol,Dealer,Automatic,1,6.19
Mahindra XUV500,2016,4.01,121659,Petrol,Dealer,Manual,0,0.5
Mahindra XUV500,2021,16.87,107742,Diesel,Dealer,Automatic,1,3.31
Tata Nexon,2020,25.54,116184,CNG,Dealer,Manual,1,1.47
Honda City,2018,17.54,50024,Petrol,Dealer,Manual,0,5.83
Kia Seltos,2012,17.72,34378,Petrol,Individual,Manual,0,3.88
Toyota Innova,2014,24.43,117591,Petrol,Dealer,Automatic,0,1.5
Kia Seltos,2020,11.14,124849,Petrol,Individual,Automatic,2,0.78
Toyota Innova,2015,27.06,98638,Petrol,Dealer,Automatic,0,5.2
Maruti Swift,2015,7.9,83580,Petrol,Dealer,Manual,0,1.31
Maruti Swift,2021,15.66,138507,CNG,Dealer,Manual,0,1.29
Hyundai i20,2017,23.99,114470,Petrol,Individual,Manual,1,1.32
Maruti Swift,2014,29.51,139458,Diesel,Dealer,Manual,1,0.5
Hyundai Creta,2014,28.33,50503,Petrol,Dealer,Manual,2,0.5
Maruti Swift,2020,26.09,113312,Petrol,Individual,Automatic,2,4.71
Honda City,2024,14.49,121465,Diesel,Dealer,Manual,0,6.37
Mahindra XUV500,2016,6.91,77939,Diesel,Dealer,Manual,0,1.43
Tata Nexon,2025,9.94,73475,Petrol,Individual,Automatic,1,5.59
Hyundai i20,2018,30.67,87758,Diesel,Dealer,Manual,2,4.4
Honda City,2016,30.43,125413,Diesel,Dealer,Automatic,0,0.5
Hyundai Creta,2017,33.45,91679,Petrol,Dealer,Manual,0,3.44
Hyundai i20,2019,5.43,59012,Petrol,Dealer,Automatic,2,1.48
Tata Nexon,2019,20.18,139210,Diesel,Dealer,Manual,0,0.97
Hyundai i20,2013,23.76,7752,Petrol,Dealer,Manual,0,7.98
Kia Seltos,2022,25.74,30765,Petrol,Dealer,Manual,2,13.6
Kia Seltos,2020,23.6,116193,Petrol,Dealer,Automatic,1,2.79
Kia Seltos,2021,27.64,5837,Petrol,Dealer,Automatic,0,20.52
Maruti Swift,2023,14.5,99010,CNG,Dealer,Manual,0,6.32
Tata Nexon,2023,8.74,132977,Petrol,Dealer,Automatic,0,2.15
Honda City,2023,9.55,61997,Petrol,Individual,Manual,2,4.89
Honda City,2025,3.38,94608,Petrol,Dealer,Automatic,3,1.27
Hyundai Creta,2017,14.21,108510,Diesel,Individual,Manual,1,0.99
Toyota Innova,2018,5.94,126907,Diesel,Dealer,Manual,0,0.81
Honda City,2014,13.29,65594,CNG,Dealer,Manual,0,1.41
Mahindra XUV500,2015,23.1,90269,Diesel,Dealer,Manual,1,0.5
Kia Seltos,2017,31.62,106614,Diesel,Individual,Manual,0,3.31
Mahindra XUV500,2018,29.87,42448,Petrol,Dealer,Manual,1,8.76
Hyundai Creta,2017,11.09,107979,Petrol,Dealer,Manual,1,0.57
Mahindra XUV500,2016,7.29,83340,Diesel,Dealer,Manual,0,1.06
Kia Seltos,2025,9.18,86746,Diesel,Dealer,Automatic,2,2.99
Toyota Innova,2023,34.07,144384,CNG,Dealer,Manual,0,9.0
Maruti Swift,2013,20.58,59994,Diesel,Dealer,Manual,1,1.42
Honda City,2023,8.84,90765,Petrol,Dealer,Manual,0,4.58
Tata Nexon,2018,29.9,7884,Petrol,Individual,Manual,1,15.74
Toyota Innova,2016,15.65,114113,Petrol,Dealer,Automatic,1,0.67
Honda City,2023,31.78,25522,Petrol,Dealer,Automatic,0,24.77
Maruti Swift,2020,11.34,10623,Petrol,Dealer,Manual,0,7.08
Mahindra XUV500,2024,15.58,16460,Petrol,Dealer,Manual,0,12.29
Tata Nexon,2022,19.16,15234,Petrol,Dealer,Automatic,0,11.68
Tata Nexon,2015,31.56,51905,Diesel,Dealer,Automatic,1,8.73
Hyundai Creta,2025,30.8,136454,Petrol,Dealer,Manual,0,10.64
Mahindra XUV500,2021,21.38,120492,Diesel,Dealer,Manual,0,3.8
Maruti Swift,2023,10.1,43353,Petrol,Dealer,Manual,0,6.88
Honda City,2013,15.91,145441,Petrol,Dealer,Manual,1,0.5
Mahindra XUV500,2018,34.22,39985,CNG,Dealer,Automatic,1,12.3
Hyundai i20,2018,22.45,47255,Petrol,Dealer,Manual,0,10.11
Hyundai Creta,2012,28.0,94197,CNG,Dealer,Manual,1,0.5
Honda City,2022,17.4,66590,Petrol,Dealer,Manual,1,7.23
Mahindra XUV500,2025,20.02,126282,Petrol,Individual,Manual,0,7.41
Mahindra XUV500,2024,16.73,52883,Petrol,Dealer,Manual,1,8.08
Toyota Innova,2016,25.49,56566,Petrol,Dealer,Manual,0,7.94
Toyota Innova,2014,30.25,5650,Petrol,Individual,Manual,0,11.34
Honda City,2020,19.24,26299,Diesel,Dealer,Manual,0,10.65
Hyundai Creta,2020,18.39,31862,Petrol,Individual,Manual,0,9.77
Kia Seltos,2018,13.89,21312,Diesel,Individual,Manual,1,6.4
Toyota Innova,2023,8.67,15943,Petrol,Individual,Manual,0,6.81
Hyundai i20,2020,33.06,73734,Petrol,Individual,Manual,0,12.46
Kia Seltos,2023,13.11,130560,CNG,Dealer,Manual,0,2.7
Hyundai i20,2013,28.62,57879,Diesel,Dealer,Automatic,1,3.52
Tata Nexon,2022,25.89,124652,Petrol,Individual,Manual,1,6.64
Toyota Innova,2021,28.31,139078,Petrol,Dealer,Automatic,0,4.98
Mahindra XUV500,2019,32.98,66876,Petrol,Individual,Manual,1,12.76
Kia Seltos,2021,22.95,13505,CNG,Dealer,Manual,2,13.49
Honda City,2021,31.73,25498,Petrol,Dealer,Manual,0,21.73
Kia Seltos,2021,8.37,112679,Diesel,Individual,Manual,1,2.63
Mahindra XUV500,2024,23.05,142675,Petrol,Dealer,Manual,0,7.36
Tata Nexon,2012,27.71,29744,CNG,Individual,Manual,0,4.19
Hyundai i20,2014,11.69,149532,Petrol,Dealer,Manual,0,0.5
Tata Nexon,2019,26.7,58273,Petrol,Individual,Manual,0,12.58
Maruti Swift,2022,27.91,84095,Diesel,Individual,Manual,3,6.11
Toyota Innova,2019,29.6,33544,CNG,Dealer,Automatic,0,13.98
Honda City,2025,13.01,11864,CNG,Dealer,Automatic,1,10.3
Hyundai i20,2021,24.81,94314,Diesel,Dealer,Manual,0,7.22
Tata Nexon,2019,12.74,84770,Diesel,Individual,Manual,1,3.86
Honda City,2022,26.65,33593,Diesel,Individual,Manual,0,17.41
Toyota Innova,2023,17.82,6729,Diesel,Dealer,Manual,1,12.48
Mahindra XUV500,2022,22.12,49515,Diesel,Dealer,Automatic,0,13.34
Honda City,2018,16.31,39936,Petrol,Individual,Manual,2,5.48
Toyota Innova,2013,8.18,17413,Diesel,Individual,Manual,1,1.61
Toyota Innova,2014,8.7,52652,Petrol,Dealer,Automatic,1,0.97
Toyota Innova,2020,5.48,34764,Diesel,Dealer,Automatic,0,3.08
Tata Nexon,2013,22.78,68784,Diesel,Individual,Automatic,0,3.22
Mahindra XUV500,2024,30.16,83796,Petrol,Dealer,Automatic,1,13.59
Toyota Innova,2018,3.67,81844,Petrol,Individual,Automatic,0,1.07
Honda City,2012,5.12,132610,Petrol,Dealer,Manual,0,0.5
Mahindra XUV500,2014,17.64,129887,Petrol,Individual,Manual,0,0.5
Maruti Swift,2024,26.61,79432,Petrol,Dealer,Manual,0,14.86
Honda City,2025,8.05,109944,CNG,Individual,Manual,0,4.11
Tata Nexon,2012,11.69,30282,Diesel,Dealer,Automatic,1,1.73
Toyota Innova,2017,10.42,78210,Diesel,Dealer,Manual,0,3.14
Hyundai Creta,2015,15.77,57984,Petrol,Dealer,Manual,0,5.52
Mahindra XUV500,2012,10.2,102496,CNG,Individual,Manual,0,0.5
Maruti Swift,2016,14.28,9721,Diesel,Dealer,Manual,0,6.31
Tata Nexon,2025,26.31,34197,Petrol,Dealer,Automatic,1,20.57
Hyundai i20,2015,22.55,6066,Diesel,Dealer,Manual,0,10.74
Hyundai i20,2025,5.6,113442,CNG,Dealer,Manual,1,1.43
Hyundai Creta,2022,23.41,64418,Petrol,Dealer,Manual,0,11.87
Hyundai Creta,2021,18.27,72454,Diesel,Dealer,Manual,0,7.43
Hyundai i20,2025,32.91,81262,CNG,Dealer,Automatic,0,19.71
Maruti Swift,2022,12.26,71678,Petrol,Individual,Manual,0,5.72
Mahindra XUV500,2021,26.24,122911,Diesel,Individual,Automatic,1,4.81
Honda City,2013,26.39,90768,Petrol,Individual,Automatic,0,0.5
Maruti Swift,2024,10.09,71951,Petrol,Dealer,Automatic,1,5.76
Hyundai Creta,2018,31.9,11374,Diesel,Individual,Manual,2,17.83
Mahindra XUV500,2023,18.72,31974,Petrol,Dealer,Automatic,1,11.07
Maruti Swift,2019,24.72,36914,Diesel,Dealer,Manual,0,9.85
Mahindra XUV500,2015,7.67,55014,Petrol,Dealer,Automatic,0,1.77
Maruti Swift,2020,11.25,14347,Petrol,Dealer,Automatic,2,6.03
Hyundai i20,2014,21.76,95468,Petrol,Dealer,Automatic,1,1.16
Kia Seltos,2024,13.21,94129,Petrol,Dealer,Automatic,1,4.82
Mahindra XUV500,2017,18.99,97103,Petrol,Dealer,Manual,0,2.27
Mahindra XUV500,2022,14.97,82599,Diesel,Dealer,Manual,1,3.98
Mahindra XUV500,2025,23.5,135774,CNG,Dealer,Manual,1,9.39
Honda City,2025,18.59,139212,Diesel,Dealer,Automatic,0,6.66
Kia Seltos,2018,3.15,79266,Petrol,Dealer,Manual,1,0.63
Kia Seltos,2018,23.79,129737,Diesel,Dealer,Manual,0,0.5
Maruti Swift,2017,16.51,19057,CNG,Dealer,Manual,0,6.44
Honda City,2020,13.93,34114,Petrol,Dealer,Manual,1,7.29
Kia Seltos,2012,6.01,23580,Petrol,Dealer,Automatic,0,0.93
Toyota Innova,2024,10.05,14802,Petrol,Individual,Manual,0,8.06
Maruti Swift,2020,10.16,92857,Petrol,Dealer,Automatic,0,4.33
Maruti Swift,2024,32.93,106467,CNG,Dealer,Manual,0,13.44
Maruti Swift,2020,16.84,107767,Diesel,Individual,Automatic,0,3.14
Toyota Innova,2015,4.35,140747,Diesel,Dealer,Manual,3,0.5
Hyundai Creta,2024,7.44,94450,Petrol,Dealer,Manual,0,3.0
Toyota Innova,2023,5.53,111039,Petrol,Dealer,Automatic,0,2.59
Hyundai i20,2023,21.84,33695,Petrol,Dealer,Manual,1,15.71
Hyundai Creta,2016,8.97,100970,CNG,Dealer,Manual,0,0.73
Tata Nexon,2014,18.95,35185,Petrol,Individual,Manual,0,3.99
Honda City,2018,14.84,94692,Diesel,Dealer,Manual,0,2.68
Tata Nexon,2013,28.72,50908,Petrol,Dealer,Manual,0,3.98
Maruti Swift,2019,13.26,121710,Diesel,Dealer,Manual,0,2.2
Kia Seltos,2020,17.66,7078,Diesel,Individual,Manual,0,12.52
Maruti Swift,2017,26.08,100886,Diesel,Individual,Manual,0,1.94
Kia Seltos,2020,16.87,148409,Petrol,Dealer,Manual,1,1.72
Hyundai i20,2017,28.38,11011,Petrol,Dealer,Manual,0,15.13
Mahindra XUV500,2014,24.17,122124,Petrol,Dealer,Automatic,2,0.5
Tata Nexon,2021,16.14,80532,CNG,Dealer,Manual,1,4.72
Mahindra XUV500,2014,19.13,51845,Petrol,Dealer,Automatic,0,3.91
Mahindra XUV500,2013,33.95,92030,Petrol,Dealer,Manual,2,0.5
Maruti Swift,2016,24.17,11618,Petrol,Individual,Manual,0,12.33
Tata Nexon,2024,31.96,77435,Petrol,Dealer,Manual,0,15.27
Hyundai Creta,2025,8.72,123158,Diesel,Dealer,Manual,0,3.84
Hyundai Creta,2015,18.46,83014,CNG,Dealer,Manual,1,1.35
Hyundai i20,2023,32.08,130713,Petrol,Dealer,Manual,0,8.13
Tata Nexon,2017,13.32,116550,CNG,Dealer,Automatic,0,0.9
Kia Seltos,2016,33.97,96965,Diesel,Individual,Manual,0,5.84
Honda City,2017,6.11,120503,Petrol,Dealer,Automatic,1,0.5
Mahindra XUV500,2015,31.89,147769,CNG,Individual,Automatic,0,0.5
Hyundai Creta,2025,17.25,43380,Diesel,Dealer,Manual,0,11.75
Hyundai i20,2024,5.36,100877,Petrol,Dealer,Manual,0,2.41
Tata Nexon,2014,31.14,65857,Diesel,Dealer,Manual,1,1.88
Maruti Swift,2012,11.06,26259,Petrol,Individual,Manual,0,1.15
Toyota Innova,2016,3.71,77622,Petrol,Dealer,Manual,0,0.5
Toyota Innova,2017,7.35,137221,Diesel,Dealer,Automatic,1,0.5
Hyundai i20,2016,24.09,27792,Diesel,Dealer,Automatic,0,9.6
Hyundai Creta,2016,34.29,98651,Diesel,Individual,Automatic,1,2.51
Toyota Innova,2023,6.57,94583,Petrol,Dealer,Manual,2,2.2
Hyundai Creta,2017,17.78,87614,CNG,Dealer,Manual,1,2.6
Honda City,2015,8.78,19263,Petrol,Dealer,Manual,0,3.05
Hyundai i20,2025,26.84,65309,Petrol,Dealer,Manual,0,17.99
Maruti Swift,2023,6.78,57451,Petrol,Dealer,Manual,0,3.97
Maruti Swift,2015,10.67,75379,Petrol,Dealer,Manual,2,0.5
Hyundai i20,2022,9.28,82969,Petrol,Individual,Automatic,3,3.05
Toyota Innova,2024,20.68,127425,Diesel,Dealer,Automatic,0,4.09
Toyota Innova,2019,30.94,147631,Diesel,Individual,Manual,1,0.75
Maruti Swift,2022,19.35,68728,CNG,Individual,Automatic,1,7.07
Honda City,2019,4.86,9952,Diesel,Dealer,Manual,0,2.84
Kia Seltos,2023,21.03,66726,Petrol,Dealer,Manual,0,9.91
Toyota Innova,2014,28.52,124735,Diesel,Individual,Automatic,0,0.5
Honda City,2018,7.23,45610,Diesel,Dealer,Automatic,0,3.16
Mahindra XUV500,2016,5.33,91467,Petrol,Dealer,Manual,2,0.74
Toyota Innova,2016,9.01,138225,Diesel,Individual,Manual,2,0.5
Kia Seltos,2023,26.87,99447,Petrol,Dealer,Automatic,0,12.65
Hyundai i20,2024,21.93,144091,Petrol,Individual,Manual,0,6.28
Tata Nexon,2014,20.3,111827,Petrol,Dealer,Manual,0,0.5
Maruti Swift,2013,10.98,102167,Diesel,Dealer,Manual,1,0.5
Hyundai i20,2024,13.63,133890,Diesel,Dealer,Automatic,1,3.62
Toyota Innova,2014,33.91,42929,Petrol,Individual,Manual,0,9.37
Kia Seltos,2018,10.7,39620,Diesel,Dealer,Automatic,1,3.5
Maruti Swift,2014,31.85,123818,CNG,Dealer,Manual,0,0.5
Tata Nexon,2022,21.58,130803,CNG,Individual,Manual,0,6.44
Tata Nexon,2024,6.95,15623,Petrol,Individual,Automatic,3,5.29
Kia Seltos,2013,17.95,90504,Petrol,Individual,Manual,0,0.5
Kia Seltos,2015,33.35,8809,Diesel,Dealer,Manual,0,8.26
Toyota Innova,2023,16.39,128690,Petrol,Individual,Manual,0,4.64
Maruti Swift,2016,30.63,97907,Petrol,Dealer,Automatic,0,3.23
Mahindra XUV500,2024,11.21,114502,Petrol,Dealer,Manual,1,3.85
Mahindra XUV500,2018,21.27,67496,Diesel,Individual,Manual,1,6.28
Hyundai Creta,2012,30.0,143049,Diesel,Dealer,Manual,1,0.5
Toyota Innova,2025,32.46,140206,Petrol,Dealer,Manual,0,12.64
Tata Nexon,2019,18.55,34431,Petrol,Dealer,Manual,0,7.83
Hyundai i20,2021,23.47,54565,Diesel,Individual,Manual,0,13.52
Hyundai i20,2014,3.1,52312,Petrol,Dealer,Manual,1,0.77
Honda City,2025,11.1,115613,Petrol,Dealer,Manual,0,4.25
Tata Nexon,2022,11.92,43916,Petrol,Dealer,Manual,1,5.89
Mahindra XUV500,2017,5.99,87839,Petrol,Dealer,Automatic,0,1.28
Mahindra XUV500,2015,11.95,55058,Petrol,Individual,Manual,0,1.89
Tata Nexon,2025,13.28,147930,Diesel,Dealer,Manual,0,3.7
Toyota Innova,2016,34.0,48324,Diesel,Individual,Automatic,3,8.43
Honda City,2021,24.4,95687,Petrol,Individual,Manual,0,9.31
Hyundai Creta,2023,16.63,33147,Petrol,Dealer,Manual,0,13.24
Kia Seltos,2017,34.62,82914,Petrol,Dealer,Manual,0,7.57
Honda City,2013,7.9,127879,Diesel,Dealer,Automatic,0,0.5
Maruti Swift,2024,18.23,83593,Petrol,Individual,Manual,0,9.55
Toyota Innova,2014,23.71,137432,Petrol,Dealer,Automatic,0,0.5
Kia Seltos,2019,4.78,7048,Diesel,Dealer,Manual,0,2.84
Kia Seltos,2019,25.94,48935,Diesel,Dealer,Manual,0,11.23
Mahindra XUV500,2012,6.2,122884,Petrol,Dealer,Manual,0,0.5
Hyundai i20,2021,7.49,96199,Petrol,Individual,Automatic,0,2.64
Maruti Swift,2019,8.11,114982,CNG,Individual,Manual,1,0.5
Honda City,2022,32.72,60885,CNG,Dealer,Manual,0,15.65
Hyundai i20,2013,24.86,23061,Petrol,Individual,Manual,0,6.48
Tata Nexon,2021,23.97,82015,Diesel,Individual,Manual,0,6.15
Toyota Innova,2021,20.78,114508,Diesel,Dealer,Manual,0,6.4
Hyundai Creta,2024,12.37,122700,CNG,Dealer,Manual,1,2.49
Honda City,2019,22.87,146964,Petrol,Individual,Manual,1,0.97
Tata Nexon,2023,16.12,28931,Diesel,Individual,Manual,1,9.3
Kia Seltos,2021,7.65,105175,Diesel,Dealer,Automatic,0,2.1
Mahindra XUV500,2016,25.07,29654,Petrol,Dealer,Automatic,0,10.22
Honda City,2012,7.15,93478,Diesel,Individual,Manual,0,0.52
Hyundai i20,2019,9.1,58886,Petrol,Dealer,Manual,0,3.65
Maruti Swift,2023,29.17,125477,Petrol,Individual,Manual,0,5.52
Hyundai i20,2016,24.12,77470,Petrol,Individual,Manual,0,5.85
Toyota Innova,2012,23.19,105029,CNG,Individual,Manual,1,0.5
Mahindra XUV500,2015,16.38,70324,Petrol,Individual,Manual,0,2.83
Toyota Innova,2024,15.68,110520,Diesel,Dealer,Automatic,3,5.12
Honda City,2012,25.09,70027,Diesel,Individual,Manual,0,0.5
Hyundai i20,2024,26.68,6425,Petrol,Dealer,Manual,1,21.07
Maruti Swift,2020,19.33,137805,Petrol,Individual,Manual,0,1.92
Kia Seltos,2021,34.02,69411,Diesel,Dealer,Manual,1,16.18
Toyota Innova,2013,33.58,15603,CNG,Dealer,Automatic,0,11.46
Maruti Swift,2019,16.2,17152,Petrol,Dealer,Manual,0,7.51
Tata Nexon,2015,29.26,61318,Petrol,Individual,Automatic,0,8.21
Honda City,2020,20.38,113051,Petrol,Dealer,Manual,3,2.64
Maruti Swift,2013,19.38,26068,Petrol,Dealer,Manual,3,0.83
Honda City,2023,4.76,18531,Petrol,Individual,Automatic,0,3.52
Tata Nexon,2014,21.37,117289,Petrol,Individual,Manual,1,0.5
Maruti Swift,2013,31.82,39288,Petrol,Dealer,Manual,0,4.14
Mahindra XUV500,2021,27.96,105694,Petrol,Dealer,Automatic,0,10.62
Maruti Swift,2025,28.16,96762,Diesel,Dealer,Manual,0,11.89
Kia Seltos,2016,8.12,103197,CNG,Individual,Manual,3,0.5
Tata Nexon,2022,14.47,148531,Petrol,Individual,Manual,0,1.65
Hyundai Creta,2012,10.46,109445,Diesel,Individual,Manual,0,0.5
Mahindra XUV500,2023,13.11,111243,Petrol,Dealer,Manual,0,4.4
Mahindra XUV500,2014,21.55,75313,CNG,Dealer,Automatic,0,0.73
Hyundai i20,2012,14.67,132286,Diesel,Individual,Manual,0,0.5
Hyundai Creta,2021,20.94,8801,Diesel,Dealer,Manual,0,15.17
Maruti Swift,2025,17.03,77593,Petrol,Dealer,Manual,0,10.72
Kia Seltos,2019,12.17,78635,Diesel,Dealer,Manual,0,3.64
Maruti Swift,2023,6.05,85729,Petrol,Individual,Manual,0,2.92
